% NextBus#  Stop#   StopLocation
% Bus 104 College Park Metro
% Bus 105 Campus Connector
% Bus 108 Adelphi
% Bus 109 River Road
% Bus 111 Silver Spring
% Bus 113 Hyattsville
% Bus 114 University View
% Bus 115 Orange
% Bus 116 Purple
% Bus 117 Blue
% Bus 118 Gold
% Bus 122 Green
% Bus 123 Discovery District
% Bus 126 New Carrollton
% Bus 127 Mazza Grandmarc
% Bus 128 The Enclave
% Bus 131 MGM/Enclave
% Bus 132 The Varsity
% Bus 133 Grocery Shopping Shuttle
% Bus 140 Carey School of Law
% Bus 141 Gaithersburg Park & Ride
% Bus 142 Columbia Park & Ride
% Bus 143 Greenbelt


10003   104#0 	Regents Drive Garage
36112   104#1 	Campus Drive at Math Slip
27197 	 133#34 	La Plata Hall 
36274 	 133#35 	Cambridge Hall 
10003 	 133#36 	Regents Drive Garage
10002 	140#0 	Stamp Student Union - Lot HH
30500 	140#1 	Glenn L. Martin Wind Tunnel
47038 	140#2 	Baltimore Street and Paca Street
30500 	140#3 	Glenn L. Martin Wind Tunnel
10002 	140#4 	Stamp Student Union - Lot HH
10001 	141#0 	Stamp Student Union - Slip
34778 	141#1 	West Diamond Avenue Park & Ride Lot
10001 	141#2 	Stamp Student Union - Slip
10003 	142#0	Regents Drive Garage
50040 	142#1 	Broken Land Park & Ride East Lot
10003 	142#2 	Regents Drive Garage
10003 	 143#0	    Regents Drive Garage
10001 	 143#1 	    Stamp Student Union - Slip
36495 	 143#2 	    Union Drive at Lot 1b
36261 	 143#3 	    Valley Drive at Stadium Drive Garage
36424 	 143#4 	    Denton Hall
37094 	 143#5 	    Greenbelt Road at Severn Building 
37400 	 143#6 	    Greenbelt Road and Greenbelt Station Parkway 
27579 	 143#7 	    Greenbelt Road and 60th Avenue
37153 	 143#8 	    60th Avenue and Greenbelt Road 
37002 	 143#9  	60th Avenue and Ruatan Street 
37032 	 143#10 	Cunningham Drive and Pontiac Street
37076 	 143#11 	Pontiac Street and 63rd Avenue 
30091 	 143#12 	Westchester Park Circle
48036 	 143#13 	Ridge Road and Ivy Lane
48037 	 143#14 	Ivy Lane and Lastner Lane
48038 	 143#15 	Lastner Lane and Julian Court 
48039 	 143#16 	Ridge Road and Research Road 
48040 	 143#17 	Ridge Road and Plateau Place 
48041 	 143#18 	Ridge Road and Eastway 
48042 	 143#19 	Ridge Road and Gardenway 
48043 	 143#20 	Ridge Road at Green Ridge House Apartments
48044 	 143#21 	Westway and Ridge Road 
48045 	 143#22 	Lakeside Drive and Westway 
48046 	 143#23 	Lakecrest Drive and Greenbelt Road 
34389 	 143#24 	Greenbelt Road at Greenway Center 
30977 	 143#25 	Ora Glen Drive and Hanover Parkway
30345 	 143#26 	Ora Glen Drive and Greenbrook Drive
55002 	 143#27 	Ora Glen Drive and Morrison Drive
30931 	 143#28 	Mandan Road and Canning Terrace
30912 	 143#29 	Mandan Road at Glen Oaks Apartments
27828 	 143#30 	Mandan Road and Hanover Parkway
27837 	 143#31 	Hanover Parkway at Eleanor Roosevelt High School
27081 	 143#32 	Hanover Parkway and Greenbelt Road
34388 	 143#33 	Greenbelt Road at Greenway Center 
48047 	 143#34 	Lakecrest Drive and Greenbelt Road 
27184 	 143#35 	Lakecrest Drive and Lakeside Drive
27178 	 143#36 	Lakeside Drive and Westway 
30062 	 143#37 	Westway and Ridge Road 
27386 	 143#38 	Ridge Road and Southway
27902 	 143#39 	Ridge Road and Gardenway 
27925 	 143#40 	Ridge Road and Eastway 
27994 	 143#41 	Ridge Road and Plateau Place 
27329 	 143#42 	Ridge Road and Research Road 
27150 	 143#43 	Lastner Lane and Julian Court 
27166 	 143#44 	Lastner Lane and Ivy Lane
27052 	 143#45 	Ivy Lane and Ridge Road
30091 	 143#46 	Westchester Park Circle
37075 	 143#47 	Pontiac Street and 63rd Avenue 
37077 	 143#48 	Pontiac Street and Cunningham Drive
37003 	 143#49 	60th Avenue and Ruatan Street 
37001 	 143#50 	60th Avenue and Greenbelt Road 
37401 	 143#51 	Greenbelt Road and Greenbelt Station Parkway 
37095 	 143#52 	Greenbelt Road at Severn Building 
36411 	 143#53 	Stadium Drive and University Boulevard
